FSA,Language,Count,Year
M1H,      Montagnais-Naskapi,0,1996
M1H,      Hebrew,0,1996
M1H,      Yiddish,0,1996
M1H,      Serbian,25,1996
M1H,      Bengali,45,1996
M1H,      Slovak,0,1996
M1H,      Estonian,0,1996
M1H,      Turkish,0,1996
M1H,      Lithuanian,0,1996
M1H,      Latvian (Lettish),10,1996
M1H,      Micmac,0,1996
M1H,      Slovenian,0,1996
M1H,      Bulgarian,0,1996
M1H,      Serbo-Croatian,0,1996
M1H,      Dakota/Sioux,0,1996
M1H,      South Slave,0,1996
M1H,      Malay-Bahasa,0,1996
M1H,      Maltese,0,1996
M1H,      Blackfoot,0,1996
M1H,      Dogrib,0,1996
M1H,      Danish,0,1996
M1H,      Swedish,0,1996
M1H,      Malayalam,10,1996
M1H,      Thai,0,1996
M1H,      Kurdish,0,1996
M1H,      Pashto,15,1996
M1H,      Flemish,0,1996
M1H,      Chipewyan,0,1996
M1H,      Kutchin-Gwich'in (Loucheux),0,1996
M1H,      Norwegian,0,1996
M1H,      Gaelic languages,0,1996
M1H,      Tlingit,0,1996
M1H,      Other languages,130,1996
M1J,    English,22885,1996
M1J,    French,100,1996
M1J,      Chinese,695,1996
M1J,      Italian,350,1996
M1J,      Portuguese,155,1996
M1J,      Spanish,485,1996
M1J,      German,110,1996
M1J,      Polish,1040,1996
M1J,      Punjabi,250,1996
M1J,      Greek,450,1996
M1J,      Vietnamese,110,1996
M1J,      Arabic,15,1996
M1J,      Cree,0,1996
M1J,      Tagalog (Pilipino),580,1996
M1J,      Ukrainian,15,1996
M1J,      Persian (Farsi),345,1996
M1J,      Korean,295,1996
M1J,      Hungarian,10,1996
M1J,      Tamil,2665,1996
M1J,      Gujarati,100,1996
M1J,      Croatian,10,1996
M1J,      Armenian,60,1996
M1J,      Inuktitut (Eskimo),0,1996
M1J,      Hindi,60,1996
M1J,      Urdu,400,1996
M1J,      Japanese,10,1996
M1J,      Russian,10,1996
M1J,      Creoles,10,1996
M1J,      Dutch,10,1996
M1J,      Khmer (Cambodian),0,1996
M1J,      Ojibway,0,1996
M1J,      Romanian,0,1996
M1J,      Czech,30,1996
M1J,      Lao,0,1996
M1J,      Macedonian,595,1996
M1J,      Finnish,45,1996
M1J,      Montagnais-Naskapi,0,1996
M1J,      Hebrew,0,1996
M1J,      Yiddish,0,1996
M1J,      Serbian,90,1996
M1J,      Bengali,10,1996
M1J,      Slovak,0,1996
M1J,      Estonian,30,1996
M1J,      Turkish,0,1996
M1J,      Lithuanian,0,1996
M1J,      Latvian (Lettish),15,1996
M1J,      Micmac,0,1996
M1J,      Slovenian,15,1996
M1J,      Bulgarian,10,1996
M1J,      Serbo-Croatian,10,1996
M1J,      Dakota/Sioux,0,1996
M1J,      South Slave,0,1996
M1J,      Malay-Bahasa,0,1996
M1J,      Maltese,0,1996
M1J,      Blackfoot,0,1996
M1J,      Dogrib,0,1996
M1J,      Danish,0,1996
M1J,      Swedish,0,1996
M1J,      Malayalam,20,1996
M1J,      Thai,0,1996
M1J,      Kurdish,10,1996
M1J,      Pashto,55,1996
M1J,      Flemish,10,1996
M1J,      Chipewyan,0,1996
M1J,      Kutchin-Gwich'in (Loucheux),0,1996
M1J,      Norwegian,0,1996
M1J,      Gaelic languages,0,1996
M1J,      Tlingit,0,1996
M1J,      Other languages,400,1996
M1K,    English,30375,1996
M1K,    French,205,1996
M1K,      Chinese,3665,1996
M1K,      Italian,990,1996
M1K,      Portuguese,200,1996
M1K,      Spanish,460,1996
M1K,      German,80,1996
M1K,      Polish,285,1996
M1K,      Punjabi,160,1996
M1K,      Greek,1205,1996
M1K,      Vietnamese,220,1996
M1K,      Arabic,110,1996
M1K,      Cree,0,1996
M1K,      Tagalog (Pilipino),860,1996
M1K,      Ukrainian,65,1996
M1K,      Persian (Farsi),320,1996
M1K,      Korean,145,1996
M1K,      Hungarian,65,1996
M1K,      Tamil,2495,1996
M1K,      Gujarati,115,1996
M1K,      Croatian,20,1996
M1K,      Armenian,80,1996
M1K,      Inuktitut (Eskimo),0,1996
M1K,      Hindi,35,1996
M1K,      Urdu,205,1996
M1K,      Japanese,30,1996
M1K,      Russian,25,1996
M1K,      Creoles,65,1996
M1K,      Dutch,0,1996
M1K,      Khmer (Cambodian),0,1996
M1K,      Ojibway,0,1996
M1K,      Romanian,50,1996
M1K,      Czech,0,1996
M1K,      Lao,0,1996
M1K,      Macedonian,795,1996
M1K,      Finnish,50,1996
M1K,      Montagnais-Naskapi,0,1996
M1K,      Hebrew,0,1996
M1K,      Yiddish,0,1996
M1K,      Serbian,10,1996
M1K,      Bengali,100,1996
M1K,      Slovak,0,1996
M1K,      Estonian,35,1996
M1K,      Turkish,35,1996
M1K,      Lithuanian,0,1996
M1K,      Latvian (Lettish),30,1996
M1K,      Micmac,0,1996
M1K,      Slovenian,10,1996
M1K,      Bulgarian,80,1996
M1K,      Serbo-Croatian,0,1996
M1K,      Dakota/Sioux,0,1996
M1K,      South Slave,0,1996
M1K,      Malay-Bahasa,0,1996
M1K,      Maltese,0,1996
M1K,      Blackfoot,0,1996
M1K,      Dogrib,0,1996
M1K,      Danish,0,1996
M1K,      Swedish,0,1996
M1K,      Malayalam,0,1996
M1K,      Thai,0,1996
M1K,      Kurdish,20,1996
M1K,      Pashto,105,1996
M1K,      Flemish,0,1996
M1K,      Chipewyan,0,1996
M1K,      Kutchin-Gwich'in (Loucheux),0,1996
M1K,      Norwegian,0,1996
M1K,      Gaelic languages,0,1996
M1K,      Tlingit,0,1996
M1K,      Other languages,870,1996
M1L,    English,17830,1996
M1L,    French,90,1996
M1L,      Chinese,1480,1996
M1L,      Italian,415,1996
M1L,      Portuguese,80,1996
M1L,      Spanish,155,1996
M1L,      German,10,1996
M1L,      Polish,30,1996
M1L,      Punjabi,85,1996
M1L,      Greek,515,1996
M1L,      Vietnamese,85,1996
M1L,      Arabic,70,1996
M1L,      Cree,0,1996
M1L,      Tagalog (Pilipino),525,1996
M1L,      Ukrainian,0,1996
M1L,      Persian (Farsi),545,1996
M1L,      Korean,135,1996
M1L,      Hungarian,0,1996
M1L,      Tamil,720,1996
M1L,      Gujarati,20,1996
M1L,      Croatian,30,1996
M1L,      Armenian,10,1996
M1L,      Inuktitut (Eskimo),0,1996
M1L,      Hindi,35,1996
M1L,      Urdu,215,1996
M1L,      Japanese,0,1996
M1L,      Russian,35,1996
M1L,      Creoles,0,1996
M1L,      Dutch,0,1996
M1L,      Khmer (Cambodian),0,1996
M1L,      Ojibway,0,1996
M1L,      Romanian,45,1996
M1L,      Czech,0,1996
M1L,      Lao,0,1996
M1L,      Macedonian,150,1996
M1L,      Finnish,0,1996
M1L,      Montagnais-Naskapi,0,1996
M1L,      Hebrew,0,1996
M1L,      Yiddish,0,1996
M1L,      Serbian,40,1996
M1L,      Bengali,190,1996
M1L,      Slovak,0,1996
M1L,      Estonian,20,1996
M1L,      Turkish,10,1996
M1L,      Lithuanian,0,1996
M1L,      Latvian (Lettish),0,1996
M1L,      Micmac,0,1996
M1L,      Slovenian,0,1996
M1L,      Bulgarian,10,1996
M1L,      Serbo-Croatian,0,1996
M1L,      Dakota/Sioux,0,1996
M1L,      South Slave,0,1996
M1L,      Malay-Bahasa,0,1996
M1L,      Maltese,0,1996
M1L,      Blackfoot,0,1996
M1L,      Dogrib,0,1996
M1L,      Danish,0,1996
M1L,      Swedish,0,1996
M1L,      Malayalam,10,1996
M1L,      Thai,10,1996
M1L,      Kurdish,40,1996
M1L,      Pashto,105,1996
M1L,      Flemish,0,1996
M1L,      Chipewyan,0,1996
M1L,      Kutchin-Gwich'in (Loucheux),0,1996
M1L,      Norwegian,0,1996
M1L,      Gaelic languages,0,1996
M1L,      Tlingit,0,1996
M1L,      Other languages,815,1996
M1M,    English,17055,1996
M1M,    French,55,1996
M1M,      Chinese,410,1996
M1M,      Italian,170,1996
M1M,      Portuguese,35,1996
M1M,      Spanish,185,1996
M1M,      German,75,1996
M1M,      Polish,225,1996
M1M,      Punjabi,10,1996
M1M,      Greek,145,1996
M1M,      Vietnamese,0,1996
M1M,      Arabic,20,1996
M1M,      Cree,0,1996
M1M,      Tagalog (Pilipino),230,1996
M1M,      Ukrainian,20,1996
M1M,      Persian (Farsi),155,1996
M1M,      Korean,70,1996
M1M,      Hungarian,60,1996
M1M,      Tamil,225,1996
M1M,      Gujarati,20,1996
M1M,      Croatian,25,1996
M1M,      Armenian,0,1996
M1M,      Inuktitut (Eskimo),0,1996
M1M,      Hindi,35,1996
M1M,      Urdu,0,1996
