,FSA,Mean,Std,Year,dist
68,M5W,30.0,10.0,1991,0.3333333333333333
69,M6A,667.2727272727273,2333.62511949694,1991,3.4972583534695287
70,M6B,888.5185185185185,3158.585834179481,1991,3.554890267730137
71,M6C,929.5652173913044,3266.1068811032765,1991,3.5135855128800446
72,M6E,1202.6785714285713,3438.1770715387984,1991,2.858766384649929
73,M6G,1344.6,3882.2369634013876,1991,2.8872802048203092
74,M6H,1684.0384615384614,4452.0546292243125,1991,2.6436775233489125
75,M6J,1178.5416666666667,2975.8501863496463,1991,2.5250275578006542
76,M6K,1101.111111111111,3282.396745529359,1991,2.9809859444767137
77,M6L,755.2,2272.3065286180044,1991,3.008880466920027
78,M6M,1134.4444444444443,4003.631299239094,1991,3.529155895509486
79,M6N,1286.2962962962963,4008.2074576198793,1991,3.1160841162031887
80,M6P,1171.9642857142858,4251.988051674374,1991,3.6280867117745688
81,M6R,740.3846153846154,2673.9440486195535,1991,3.6115607929406957
82,M6S,1129.5833333333333,4121.658979471198,1991,3.6488312617967082
83,M8V,1111.9565217391305,4255.1093939676075,1991,3.826686845014857
84,M8W,876.5217391304348,3318.014215835118,1991,3.7854328851293513
85,M8X,536.6666666666666,1840.159111478015,1991,3.4288679095863634
86,M8Y,851.3157894736842,2654.506516783379,1991,3.1181220289882043
87,M8Z,649.7368421052631,2063.169810653022,1991,3.1753929852091876
88,M9A,1058.6538461538462,4426.019994934741,1991,4.180799995215377
89,M9B,1056.6666666666667,4096.699552349698,1991,3.8770027309303132
90,M9C,1237.5925925925926,5257.862960185754,1991,4.248460270088743
91,M9L,641.7647058823529,1614.9066091887123,1991,2.516353103227141
92,M9M,856.9047619047619,2378.7063692119937,1991,2.7759285220034378
93,M9N,743.0769230769231,2894.194147481058,1991,3.894878252303701
94,M9P,940.75,3056.7287559579113,1991,3.249246618079098
