,FSA,Mean,Std,Year,dist
56,M5E,27.77777777777778,23.934065809486686,1996,0.8616263691415207
57,M5G,45.526315789473685,89.67624130642209,1996,1.9697671500832596
58,M5H,15.0,5.0,1996,0.3333333333333333
59,M5J,40.0,82.83576948325134,1996,2.0708942370812835
60,M5M,66.34615384615384,57.88844863361861,1996,0.8725215446226574
61,M5N,48.6,43.34789498926101,1996,0.8919319956638068
62,M5P,51.36363636363637,73.4101463476055,1996,1.42922408818347
63,M5R,76.48648648648648,134.22381905298604,1996,1.7548697190673088
64,M5S,116.5909090909091,217.30470000583995,1996,1.8638219883541827
65,M5T,284.2857142857143,1027.5071378668604,1996,3.6143467161145844
66,M5V,53.05555555555556,70.27997361523425,1996,1.3246487173552006
67,M6A,149.53125,217.31083503460545,1996,1.4532804014853447
68,M6B,246.57894736842104,472.7788863160668,1996,1.9173530074717757
69,M6C,191.83333333333334,293.3640608905976,1996,1.5292653043819162
70,M6E,567.741935483871,1428.5498166196357,1996,2.5161956997277675
71,M6G,384.19354838709677,832.6242005329988,1996,2.1671998502538172
72,M6H,562.6315789473684,1647.2527914691086,1996,2.9277645498515494
73,M6J,549.074074074074,1642.005344104759,1996,2.9904987717253624
74,M6K,392.9166666666667,709.4974502733921,1996,1.8057199158601707
75,M6L,255.32258064516128,593.2577303764401,1996,2.3235615466417743
76,M6M,344.2307692307692,646.8062945295122,1996,1.878990352823164
77,M6N,405.64102564102564,830.2650020936159,1996,2.0467974135051215
78,M6P,263.2926829268293,383.6102724979775,1996,1.4569727811409983
79,M6R,145.14705882352942,391.78791774549325,1996,2.6992480655211284
80,M6S,163.38235294117646,286.02169957847224,1996,1.7506278642066708
81,M8V,192.96875,403.697479894831,1996,2.0920355233416346
82,M8W,105.88235294117646,200.24055602403982,1996,1.8911608068937096
83,M8X,36.578947368421055,33.83600665356933,1996,0.9250131315364276
84,M8Y,171.3793103448276,414.4915800312063,1996,2.4185625394175014
85,M8Z,116.53846153846153,200.85762863841768,1996,1.7235308067983035
86,M9A,172.625,241.09382898572912,1996,1.3966333322851796
87,M9B,156.28571428571428,210.6667743046311,1996,1.3479592505780784
88,M9C,186.05263157894737,264.91845293146554,1996,1.4238898460248501
89,M9L,227.85714285714286,610.4615182844226,1996,2.6791414595554595
90,M9M,311.85185185185185,555.5046890293615,1996,1.7813095728970025
91,M9N,191.3793103448276,275.7588168838479,1996,1.4409019260597458
92,M9P,157.7941176470588,236.91705912950712,1996,1.501431502405078
93,M9R,261.4634146341463,446.5330456490683,1996,1.7078222827996083
94,M9V,444.375,892.8922019902515,1996,2.0093214109485267
95,M9W,280.14285714285717,430.64152429715784,1996,1.5372211474146378
0,M1B,356.8965517241379,584.3717725975469,2001,1.637370184089745
1,M1C,69.64285714285714,72.12252188647666,2001,1.0356054424724854
2,M1G,183.90625,328.1237723191319,2001,1.7841904357200036
3,M1H,179.80769230769232,259.98328633125175,2001,1.4458963517887797
4,M1J,196.57142857142858,355.426848870424,2001,1.8081307718698896
5,M1K,259.86486486486484,416.56492061843926,2001,1.6030059347771455
6,M1L,153.125,185.79537635527961,2001,1.2133575598712139
7,M1M,66.93548387096774,59.658671859099194,2001,0.8912861819913614
8,M1N,74.2,108.19131203567139,2001,1.4581039357907195
9,M1P,220.78947368421052,352.60781538154265,2001,1.5970318217519215
10,M1R,120.88235294117646,148.82614505955328,2001,1.2311651902736769
11,M1S,386.93548387096774,1041.1490840376837,2001,2.690756282214939
12,M1T,249.72222222222223,531.5228965022794,2001,2.128456537717693
13,M1V,729.6666666666666,2077.4382996587137,2001,2.8471059383171045
14,M1W,493.28125,1157.0096216749614,2001,2.345537402191876
15,M1X,26.11111111111111,16.29208699846131,2001,0.6239522680261779
16,M2H,239.21875,524.5803521849036,2001,2.192889780524744
17,M2J,343.780487804878,534.8601144769523,2001,1.5558187083047212
18,M2K,91.85185185185185,135.65443671430123,2001,1.4768829803573118
19,M2L,73.75,79.98241994338505,2001,1.0845073890628483
20,M2M,201.57894736842104,377.7027257387362,2001,1.873721093743078
21,M2N,258.7837837837838,532.5162164837005,2001,2.057765014088451
22,M2P,44.166666666666664,41.62497914580725,2001,0.9424523580182774
23,M2R,327.65625,1025.3718718523235,2001,3.1294134381759036
24,M3A,160.13513513513513,214.22546372003217,2001,1.337779267112437
25,M3B,67.72727272727273,86.23075902282717,2001,1.2732058379209379
26,M3C,255.0,318.14720972974686,2001,1.2476361165872425
27,M3H,135.0,210.23796041628637,2001,1.5573182253058249
28,M3J,182.64705882352942,266.2325257842609,2001,1.457633796564391
29,M3K,62.25,137.36334117951557,2001,2.2066400189480415
30,M3L,176.53846153846155,362.0262666595882,2001,2.0506934494878633
31,M3M,178.6764705882353,286.1799845621875,2001,1.601665757220473
32,M3N,455.64516129032256,602.3539067095023,2001,1.321980255433244
33,M4A,95.17857142857143,89.30767587048581,2001,0.9383170447930966
34,M4B,85.71428571428571,94.65835452633144,2001,1.1043474694738669
35,M4C,215.67567567567568,285.0442406681058,2001,1.3216336973333225
36,M4E,42.8125,36.14072970693868,2001,0.8441630296511224
37,M4G,20.357142857142858,12.02145191407631,2001,0.5905274624458539
38,M4H,166.4814814814815,243.9217194360109,2001,1.4651582702496762
39,M4J,180.73529411764707,295.0426996837546,2001,1.6324575735146716
40,M4K,138.75,241.90900206023292,2001,1.7434883031368138
41,M4L,167.1153846153846,338.23118253679195,2001,2.0239380312903545
42,M4M,282.04545454545456,622.3975985342145,2001,2.206727988356602
43,M4N,25.476190476190474,15.189655150225317,2001,0.5962294544948256
44,M4P,44.074074074074076,41.94434224499037,2001,0.9516783534577645
45,M4R,23.571428571428573,20.738901629939967,2001,0.8798321903610895
46,M4S,60.74074074074074,69.11750198707115,2001,1.137910093689586
47,M4T,15.833333333333334,6.400954789890506,2001,0.4042708288351899
48,M4V,34.333333333333336,26.574841903992997,2001,0.7740245214755241
49,M4W,21.666666666666668,15.723301886761009,2001,0.7256908563120466
50,M4X,176.09375,267.3882195627502,2001,1.5184424181025742
51,M4Y,70.66666666666667,93.23566318147196,2001,1.319372592190641
52,M5A,179.0,245.29709877343976,2001,1.3703748534829037
53,M5B,52.05882352941177,53.46958518440541,2001,1.0270993764236067
54,M5C,15.625,5.829611908180509,2001,0.3730951621235526
55,M5E,21.428571428571427,21.82958112848018,2001,1.0187137859957418
56,M5G,63.0,38.93584466786357,2001,0.6180292804422789
57,M5H,20.0,14.577379737113251,2001,0.7288689868556626
58,M5J,24.285714285714285,22.269224668742712,2001,0.9169680745952882
59,M5M,41.36363636363637,28.611099967011302,2001,0.691696922279394
60,M5N,31.176470588235293,18.273205372951843,2001,0.5861216817739271
61,M5P,22.894736842105264,14.628360115460312,2001,0.6389398671120596
62,M5R,52.58620689655172,51.838953028872105,2001,0.9857899264506826
63,M5S,73.95833333333333,91.57168374497047,2001,1.238152343593967
64,M5T,284.2857142857143,546.6767254757337,2001,1.9229834564473047
65,M5V,51.0,46.37528077183648,2001,0.9093192308203232
66,M6A,104.64285714285714,156.28458800847764,2001,1.493504595302858
67,M6B,174.84848484848484,290.1657959932062,2001,1.6595270828034323
68,M6C,107.24137931034483,161.2322495276694,2001,1.5034518444702292
69,M6E,398.92857142857144,899.6411557858356,2001,2.2551434522832046
70,M6G,246.92307692307693,417.6216472319011,2001,1.6913026211883844
71,M6H,365.1515151515151,924.5846609288828,2001,2.532057577647563
72,M6J,358.2,882.864519617817,2001,2.4647250687264575
73,M6K,254.7058823529412,364.0861670322308,2001,1.4294376072858945
74,M6L,160.9375,351.65776487054853,2001,2.185057956477195
75,M6M,249.30555555555554,447.4746311520814,2001,1.7948843143704658
76,M6N,257.02702702702703,518.130030976076,2001,2.0158581646808424
77,M6P,162.5,210.63110056759373,2001,1.2961913881082692
78,M6R,94.4,183.30477353304246,2001,1.9417878552229073
79,M6S,78.59375,102.63888742059464,2001,1.305942106345538
80,M8V,118.93939393939394,189.86740818408455,2001,1.5963374446050422
81,M8W,82.14285714285714,109.90603593385524,2001,1.3379865244121507
82,M8X,39.583333333333336,34.48781991112547,2001,0.8712712398600119
83,M8Y,116.875,171.43276439564676,2001,1.4668044012461754
84,M8Z,72.82608695652173,117.63822662276476,2001,1.6153308730290088
85,M9A,124.42857142857143,158.1580196628469,2001,1.2710747848908477
86,M9B,87.08333333333333,115.53243291628354,2001,1.3266882248759833
87,M9C,133.33333333333334,137.27690809072547,2001,1.029576810680441
88,M9L,217.94117647058823,380.97421104448637,2001,1.748059807761476
89,M9M,178.46153846153845,258.7386906884465,2001,1.4498288702369848
90,M9N,120.45454545454545,183.81629348908686,2001,1.5260220591546834
91,M9P,103.66666666666667,145.06282164021982,2001,1.399319822896011
92,M9R,160.12820512820514,254.92705638332237,2001,1.5920184465892029
93,M9V,388.0,807.0893029009509,2001,2.0801270693323475
94,M9W,207.72727272727272,356.9400486735937,2001,1.7183109564155497
0,M1B,480.35714285714283,1152.8909794703998,2006,2.4000704405331743
1,M1C,127.56410256410257,172.42193252001962,2006,1.3516493202574402
2,M1G,237.1590909090909,539.3792704742697,2006,2.274335208516326
3,M1H,211.58536585365854,390.81284745650476,2006,1.8470693655004835
4,M1J,229.3877551020408,482.65912323068915,2006,2.1041189535857447
5,M1K,301.7,524.6271151970703,2006,1.738903265485815
6,M1L,203.40425531914894,363.4572560882075,2006,1.7868714472955807
7,M1M,79.58333333333333,119.63413555038917,2006,1.5032561535127436
8,M1N,85.0,85.17445332962225,2006,1.002052392113203
9,M1P,346.7391304347826,643.8861442286816,2006,1.8569757137629688
10,M1R,185.2325581395349,262.4171042717798,2006,1.4166899540096085
11,M1S,541.8918918918919,1466.55846049258,2006,2.706367233826706
12,M1T,358.9130434782609,826.8450468914947,2006,2.3037475564511665
13,M1V,860.7692307692307,2571.310535470674,2006,2.987224035846181
14,M1W,588.0434782608696,1585.820141078039,2006,2.6967736225356664
15,M1X,209.23076923076923,446.92258043134086,2006,2.1360270388262617
16,M2H,326.0,796.2334770656155,2006,2.442433978728882
17,M2J,485.0,969.650783276863,2006,1.999279965519305
18,M2K,189.72222222222223,371.1523804398576,2006,1.9562936597122802
19,M2L,103.33333333333333,128.63240764401598,2006,1.2448297513937032
20,M2M,318.2926829268293,589.4381468575398,2006,1.851874637636715
21,M2N,529.5833333333334,1179.024505564758,2006,2.2263247941427373
22,M2P,81.17647058823529,90.78950139753957,2006,1.1184213940276615
23,M2R,365.8695652173913,1309.482682600364,2006,3.579097052858986
24,M3A,225.30612244897958,286.29834617709565,2006,1.270708239372979
25,M3B,95.9090909090909,139.96457639212895,2006,1.4593462941359416
26,M3C,301.875,410.1582837251167,2006,1.3587023891515253
27,M3H,221.9512195121951,440.59255837850105,2006,1.9850873509361038
28,M3J,237.73809523809524,364.6462773653008,2006,1.5338150875656118
29,M3K,107.85714285714286,222.59065263271006,2006,2.0637543952701596
30,M3L,201.71875,439.32940619589476,2006,2.177930441249982
31,M3M,212.82051282051282,453.2981625758137,2006,2.1299552217417754
32,M3N,415.0,670.8827922448396,2006,1.6165850415538303
33,M4A,121.97368421052632,134.12748979238202,2006,1.0996428505092808
34,M4B,113.67647058823529,138.78839597794726,2006,1.2209069762613731
35,M4C,264.0217391304348,415.12258478306796,2006,1.5723045615497016
36,M4E,31.96969696969697,25.993571289705866,2006,0.8130690545595199
37,M4G,29.838709677419356,18.027034848577895,2006,0.6041492760063942
38,M4H,236.44736842105263,627.7108661162742,2006,2.654759366991477
39,M4J,189.45652173913044,359.18874210847264,2006,1.8958900903028963
40,M4K,152.05128205128204,255.3396881499431,2006,1.6792998040215483
41,M4L,139.42857142857142,306.4118876577069,2006,2.1976262434466687
42,M4M,245.0,522.3725461039055,2006,2.1321328412404306
43,M4N,34.791666666666664,26.039999946663254,2006,0.7484550882873271
44,M4P,70.73529411764706,88.40192599163856,2006,1.2497569578859506
45,M4R,32.5,33.63406011768428,2006,1.0348941574672086
46,M4S,70.0,72.68352452132537,2006,1.0383360645903623
47,M4T,22.8,17.83704011320264,2006,0.7823263207545017
48,M4V,35.806451612903224,30.824601982976993,2006,0.8608672625876458
49,M4W,49.375,44.56531956951878,2006,0.9025887507750638
50,M4X,175.26315789473685,245.11529877853576,2006,1.39855575879645
51,M4Y,96.35135135135135,118.64464685734279,2006,1.2313750164717203
52,M5A,191.86046511627907,269.2043039667127,2006,1.4031254630992298
53,M5B,66.15384615384616,75.79460723037688,2006,1.14573243487779
54,M5C,16.666666666666668,9.7182531580755,2006,0.58309518948453
55,M5E,29.444444444444443,17.471316881684878,2006,0.5933654790006185
56,M5G,58.86363636363637,75.63266216904479,2006,1.2848792028718032
57,M5H,10.0,0.0,2006,0.0
58,M5J,41.73913043478261,44.978465756988115,2006,1.0776090754278402
59,M5M,52.666666666666664,54.263759135868526,2006,1.0303245405544657
60,M5N,66.66666666666667,73.05502745901228,2006,1.095825411885184
61,M5P,46.40625,51.13148453680472,2006,1.1018232358099334
62,M5R,62.972972972972975,72.77751601358332,2006,1.1556944603015378
63,M5S,77.05882352941177,116.05727317768347,2006,1.5060867511607778
64,M5T,265.3448275862069,619.4852298961235,2006,2.334642191941206
65,M5V,57.58064516129032,57.72391140568062,2006,1.0024880972415122
66,M6A,118.22916666666667,209.27327026953435,2006,1.770064664834828
67,M6B,188.75,331.1603652311067,2006,1.7544920012244065
68,M6C,148.39285714285714,204.58605232547612,2006,1.3786785716277572
69,M6E,430.4166666666667,1081.9679697199917,2006,2.5137687583039496
70,M6G,231.94444444444446,470.5615406939318,2006,2.0287683191594663
71,M6H,409.75,1116.443544251119,2006,2.7246944338038293
72,M6J,302.57575757575756,808.0842676693618,2006,2.6706841094731035
73,M6K,280.8333333333333,451.79788552524167,2006,1.6087758535023444
74,M6L,216.25,463.17049746526624,2006,2.1418288900127918
75,M6M,314.3333333333333,567.6526715832101,2006,1.8058939711024713
76,M6N,308.75,727.4702886258196,2006,2.3561790724722904
77,M6P,170.7843137254902,253.70658625822776,2006,1.485537990719818
78,M6R,83.75,138.1518639034595,2006,1.6495744943696657
79,M6S,109.6590909090909,163.96506601072323,2006,1.4952254724293932
80,M8V,154.7674418604651,260.87944620378863,2006,1.6856222669816545
81,M8W,122.5,202.3656053663619,2006,1.651964125439689
82,M8X,51.578947368421055,70.22618779005127,2006,1.361528130623443
83,M8Y,143.4848484848485,227.8239779346036,2006,1.5877911872950197
84,M8Z,86.21621621621621,143.17540463987203,2006,1.6606551635345659
85,M9A,161.875,231.6845579122614,2006,1.4312559562147422
86,M9B,155.4878048780488,170.32538758551834,2006,1.0954260221186276
87,M9C,191.8181818181818,216.22297757883607,2006,1.1272287930650222
88,M9L,241.25,442.59238677742,2006,1.8345798415644352
89,M9M,210.8139534883721,402.1713308282726,2006,1.9077073607959978
90,M9N,152.25,270.0808906605575,2006,1.7739303163255007
91,M9P,129.76190476190476,210.00269947514502,2006,1.6183694271479065
92,M9R,248.04347826086956,355.7913382454812,2006,1.4343910218485658
93,M9V,479.0,1001.8652604018167,2006,2.091576744053897
94,M9W,259.5833333333333,499.23570056860143,2006,1.9232193922385932
0,M1B,305.55555555555554,964.2153282822942,2011,3.155613801651145
1,M1C,93.15789473684211,161.1353130270947,2011,1.729701100290847
2,M1G,158.15384615384616,451.7756158765009,2011,2.856557882487603
3,M1H,139.08333333333334,317.4960520314474,2011,2.282775688662294
4,M1J,151.52777777777777,392.1058166498136,2011,2.5876827496596317
5,M1K,200.28169014084506,450.9800652381587,2011,2.2517288770681625
6,M1L,147.42857142857142,385.261268359485,2011,2.6132062776321656
7,M1M,63.416666666666664,107.90231564810007,2011,1.7014819813103823
8,M1N,39.166666666666664,57.248847635175665,2011,1.4616727055789531
9,M1P,232.53623188405797,531.2547515138957,2011,2.284610648454896
10,M1R,125.0,224.63550723585777,2011,1.797084057886862
11,M1S,333.42105263157896,1110.6064243161143,2011,3.330942709077533
12,M1T,235.46875,631.5170961846064,2011,2.681957143716975
13,M1V,585.7894736842105,2100.528711529403,2011,3.585808222736627
14,M1W,380.90909090909093,1198.5439111217631,2011,3.1465353275273014
15,M1X,152.02702702702703,558.7394831944049,2011,3.6752641561231965
16,M2H,179.92424242424244,568.1492364395559,2011,3.1577136509482684
17,M2J,313.93333333333334,759.0793956424385,2011,2.417963672677124
18,M2K,134.27272727272728,318.6910989170009,2011,2.373461129375091
19,M2L,61.2,115.47969518491111,2011,1.886923123936456
20,M2M,240.63492063492063,614.9638601224786,2011,2.5555886007728335
21,M2N,375.6666666666667,1088.7541299832367,2011,2.898192005279246
22,M2P,41.05263157894737,67.2598837849056,2011,1.6383817845041106
23,M2R,261.969696969697,1040.7747255697348,2011,3.972882121897194
24,M3A,141.30769230769232,214.77228893568773,2011,1.5198909941012195
25,M3B,64.0625,121.00557945986071,2011,1.8888675818124598
26,M3C,196.40845070422534,325.93547177251446,2011,1.6594778412225548
27,M3H,133.828125,343.89626682181995,2011,2.569686056812198
28,M3J,138.08823529411765,248.47924136837568,2011,1.799423686160761
29,M3K,64.66666666666667,147.91288727566044,2011,2.2873126898298004
30,M3L,131.44230769230768,359.24645565734795,2011,2.7331112939549516
31,M3M,130.65573770491804,342.30950836378923,2011,2.6199347566111846
32,M3N,249.6875,518.8357421609945,2011,2.077940394136649
33,M4A,68.15789473684211,88.78631739728469,2011,1.3026563942458758
34,M4B,50.0,81.42091303445989,2011,1.6284182606891977
35,M4C,141.06666666666666,341.50284853212486,2011,2.4208614026379363
36,M4E,20.520833333333332,25.15037241551083,2011,1.2256019045122029
37,M4G,23.11111111111111,23.38776719400524,2011,1.0119706958944574
38,M4H,160.17241379310346,529.757561269077,2011,3.3074207269759377
39,M4J,116.29310344827586,253.69945622797184,2011,2.181552032797979
40,M4K,85.57377049180327,186.85073020351487,2011,2.1835047016119553
41,M4L,67.0,164.52023915284434,2011,2.4555259575051394
42,M4M,105.56603773584905,340.32124166118393,2011,3.22377583700496
