FSA,Language,Count,Year
M1H,Italian,70,2006
M1H,Portuguese,40,2006
M1H,Romanian,15,2006
M1H,Spanish,165,2006
M1H,Danish,0,2006
M1H,Dutch,0,2006
M1H,Flemish,0,2006
M1H,Frisian,0,2006
M1H,German,40,2006
M1H,Norwegian,0,2006
M1H,Swedish,0,2006
M1H,Yiddish,0,2006
M1H,Bosnian,0,2006
M1H,Bulgarian,0,2006
M1H,Croatian,0,2006
M1H,Czech,0,2006
M1H,Macedonian,95,2006
M1H,Polish,115,2006
M1H,Russian,75,2006
M1H,Serbian,25,2006
M1H,Serbo-Croatian,0,2006
M1H,Slovak,0,2006
M1H,Slovenian,0,2006
M1H,Ukrainian,0,2006
M1H,Latvian,0,2006
M1H,Lithuanian,0,2006
M1H,Estonian,0,2006
M1H,Finnish,0,2006
M1H,Hungarian,20,2006
M1H,Greek,160,2006
M1H,Armenian,50,2006
M1H,Turkish,0,2006
M1H,Amharic,20,2006
M1H,Arabic,95,2006
M1H,Hebrew,0,2006
M1H,Maltese,0,2006
M1H,Somali,35,2006
M1H,Tigrigna,10,2006
M1H,Bengali,35,2006
M1H,Gujarati,1985,2006
M1H,Hindi,175,2006
M1H,Kurdish,0,2006
M1H,Panjabi (Punjabi),105,2006
M1H,Pashto,55,2006
M1H,Persian (Farsi),330,2006
M1H,Sindhi,10,2006
M1H,Sinhala (Sinhalese),10,2006
M1H,Urdu,415,2006
M1H,Malayalam,125,2006
M1H,Tamil,845,2006
M1H,Telugu,55,2006
M1H,Japanese,10,2006
M1H,Korean,40,2006
M1H,Cantonese,1040,2006
M1H,"Chinese, n.o.s.",1175,2006
M1H,Mandarin,435,2006
M1H,Taiwanese,10,2006
M1H,Lao,0,2006
M1H,Khmer (Cambodian),0,2006
M1H,Vietnamese,60,2006
M1H,Bisayan languages,45,2006
M1H,Ilocano,30,2006
M1H,Malay,0,2006
M1H,"Tagalog (Pilipino, Filipino)",575,2006
M1H,Akan (Twi),10,2006
M1H,Swahili,0,2006
M1H,Creoles,10,2006
M1H,Other languages,60,2006
M1J,Algonquin,0,2006
M1J,Atikamekw,0,2006
M1J,Blackfoot,0,2006
M1J,Carrier,0,2006
M1J,Chilcotin,0,2006
M1J,Chipewyan,0,2006
M1J,Cree,0,2006
M1J,Siouan languages (Dakota/Sioux),0,2006
M1J,Dene,0,2006
M1J,Dogrib,0,2006
M1J,Gitksan,0,2006
M1J,Inuinnaqtun,0,2006
M1J,"Inuktitut, n.i.e.",0,2006
M1J,Kutchin-Gwich'in (Loucheux),0,2006
M1J,Malecite,0,2006
M1J,Mi'kmaq,0,2006
M1J,Mohawk,0,2006
M1J,Montagnais-Naskapi,0,2006
M1J,Nisga'a,0,2006
M1J,North Slave (Hare),0,2006
M1J,Ojibway,0,2006
M1J,Oji-Cree,0,2006
M1J,Shuswap,0,2006
M1J,South Slave,0,2006
M1J,Tlingit,0,2006
M1J,Italian,155,2006
M1J,Portuguese,145,2006
M1J,Romanian,55,2006
M1J,Spanish,235,2006
M1J,Danish,0,2006
M1J,Dutch,0,2006
M1J,Flemish,0,2006
M1J,Frisian,0,2006
M1J,German,65,2006
M1J,Norwegian,0,2006
M1J,Swedish,0,2006
M1J,Yiddish,0,2006
M1J,Bosnian,30,2006
M1J,Bulgarian,0,2006
M1J,Croatian,0,2006
M1J,Czech,35,2006
M1J,Macedonian,225,2006
M1J,Polish,220,2006
M1J,Russian,25,2006
M1J,Serbian,40,2006
M1J,Serbo-Croatian,10,2006
M1J,Slovak,0,2006
M1J,Slovenian,15,2006
M1J,Ukrainian,10,2006
